"gene_symbol","ensembl_id","gene_id"
"1700016D06Rik","ENSMUSP00000033906","ENSMUSG00000031509"
"1700016D06Rik","ENSMUSP00000140232","ENSMUSG00000031509"
"1700016D06Rik","ENSMUSP00000139631","ENSMUSG00000031509"
"1700016H13Rik","ENSMUSP00000113935","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000114503","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000031261","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000113969","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000122224","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000113469","ENSMUSG00000029320"
"1700016H13Rik","ENSMUSP00000118111","ENSMUSG00000029320"
"1700016K19Rik","ENSMUSP00000063358","ENSMUSG00000053783"
"1700017B05Rik","ENSMUSP00000034846","ENSMUSG00000032300"
"1700017B05Rik","ENSMUSP00000150452","ENSMUSG00000032300"
"1700017B05Rik","ENSMUSP00000150884","ENSMUSG00000032300"
"1700017B05Rik","ENSMUSP00000149643","ENSMUSG00000032300"
"1700017D01Rik","ENSMUSP00000025635","ENSMUSG00000024729"
"1700017N19Rik","ENSMUSP00000151731","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000140459","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000141032","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000140726","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000140717","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000140291","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000042828","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000140022","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000139797","ENSMUSG00000056912"
"1700017N19Rik","ENSMUSP00000139857","ENSMUSG00000056912"
"1700018B08Rik","ENSMUSP00000034265","ENSMUSG00000031809"
"1700018B08Rik","ENSMUSP00000138269","ENSMUSG00000031809"
"1700018B08Rik","ENSMUSP00000138141","ENSMUSG00000031809"
"1700018B08Rik","ENSMUSP00000138106","ENSMUSG00000031809"
"1700018F24Rik","ENSMUSP00000031624","ENSMUSG00000029620"
"1700018G05Rik","ENSMUSP00000147946","ENSMUSG00000109745"
"1700019A02Rik","ENSMUSP00000072089","ENSMUSG00000060715"
"1700019A02Rik","ENSMUSP00000139938","ENSMUSG00000060715"
"1700019D03Rik","ENSMUSP00000055413","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000110136","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000110137","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000139750","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000140160","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000140273","ENSMUSG00000043629"
"1700019D03Rik","ENSMUSP00000140530","ENSMUSG00000043629"
"1700019N19Rik","ENSMUSP00000028299","ENSMUSG00000026931"
"1700019N19Rik","ENSMUSP00000126241","ENSMUSG00000026931"
"1700020A23Rik","ENSMUSP00000105910","ENSMUSG00000027409"
"1700020A23Rik","ENSMUSP00000140511","ENSMUSG00000027409"
"1700020A23Rik","ENSMUSP00000028898","ENSMUSG00000027409"
"1700020D05Rik","ENSMUSP00000140922","ENSMUSG00000100937"
"1700020L24Rik","ENSMUSP00000042098","ENSMUSG00000035085"
"1700020L24Rik","ENSMUSP00000140664","ENSMUSG00000035085"
"1700020N01Rik","ENSMUSP00000054237","ENSMUSG00000050844"
"1700020N15Rik","ENSMUSP00000075079","ENSMUSG00000059690"
"1700021F05Rik","ENSMUSP00000119053","ENSMUSG00000019797"
"1700021F07Rik","ENSMUSP00000029023","ENSMUSG00000027518"
"1700022I11Rik","ENSMUSP00000140492","ENSMUSG00000028451"
"1700022I11Rik","ENSMUSP00000140363","ENSMUSG00000028451"
"1700022I11Rik","ENSMUSP00000030163","ENSMUSG00000028451"
"1700022I11Rik","ENSMUSP00000116415","ENSMUSG00000028451"
"1700023F06Rik","ENSMUSP00000021323","ENSMUSG00000020940"
"1700023F06Rik","ENSMUSP00000139837","ENSMUSG00000020940"
"1700023F06Rik","ENSMUSP00000134292","ENSMUSG00000020940"
"1700023F06Rik","ENSMUSP00000102641","ENSMUSG00000020940"
"1700024B05Rik","ENSMUSP00000064211","ENSMUSG00000052334"
"1700024B05Rik","ENSMUSP00000127922","ENSMUSG00000052334"
"1700024G13Rik","ENSMUSP00000098289","ENSMUSG00000072473"
"1700024P04Rik","ENSMUSP00000053046","ENSMUSG00000045022"
"1700025B11Rik","ENSMUSP00000139560","ENSMUSG00000101113"
"1700025C18Rik","ENSMUSP00000104927","ENSMUSG00000078935"
"1700025F22Rik","ENSMUSP00000137829","ENSMUSG00000024728"
"1700025F22Rik","ENSMUSP00000137806","ENSMUSG00000024728"
"1700025F22Rik","ENSMUSP00000137968","ENSMUSG00000024728"
"1700025F22Rik","ENSMUSP00000077828","ENSMUSG00000024728"
"1700025G04Rik","ENSMUSP00000140950","ENSMUSG00000032666"
"1700025G04Rik","ENSMUSP00000036406","ENSMUSG00000032666"
"1700025G04Rik","ENSMUSP00000113971","ENSMUSG00000032666"
"1700028J19Rik","ENSMUSP00000157693","ENSMUSG00000038782"
"1700028J19Rik","ENSMUSP00000158557","ENSMUSG00000038782"
"1700028J19Rik","ENSMUSP00000145781","ENSMUSG00000038782"
"1700028J19Rik","ENSMUSP00000145629","ENSMUSG00000038782"
"1700028J19Rik","ENSMUSP00000048665","ENSMUSG00000038782"
"1700028K03Rik","ENSMUSP00000058373","ENSMUSG00000089798"
"1700028K03Rik","ENSMUSP00000124574","ENSMUSG00000089798"
"1700028P14Rik","ENSMUSP00000048680","ENSMUSG00000033053"
"1700029F12Rik","ENSMUSP00000088938","ENSMUSG00000052075"
"1700029H14Rik","ENSMUSP00000147812","ENSMUSG00000031452"
"1700029H14Rik","ENSMUSP00000120739","ENSMUSG00000031452"
"1700029H14Rik","ENSMUSP00000033830","ENSMUSG00000031452"
"1700029H14Rik","ENSMUSP00000140119","ENSMUSG00000031452"
"1700029H14Rik","ENSMUSP00000118793","ENSMUSG00000031452"
"1700029I15Rik","ENSMUSP00000140421","ENSMUSG00000044916"
"1700029I15Rik","ENSMUSP00000051464","ENSMUSG00000044916"
"1700029I15Rik","ENSMUSP00000106911","ENSMUSG00000044916"
"1700029J07Rik","ENSMUSP00000092961","ENSMUSG00000071103"
"1700029J07Rik","ENSMUSP00000096383","ENSMUSG00000071103"
"1700029P11Rik","ENSMUSP00000074190","ENSMUSG00000061633"
"1700030J22Rik","ENSMUSP00000070601","ENSMUSG00000031847"
"1700030J22Rik","ENSMUSP00000148789","ENSMUSG00000031847"
"1700030K09Rik","ENSMUSP00000063244","ENSMUSG00000052794"
"1700030K09Rik","ENSMUSP00000113279","ENSMUSG00000052794"
"1700031F05Rik","ENSMUSP00000044360","ENSMUSG00000032894"
"1700031F05Rik","ENSMUSP00000136319","ENSMUSG00000032894"
"1700034E13Rik","ENSMUSP00000112845","ENSMUSG00000024532"
"1700034E13Rik","ENSMUSP00000089518","ENSMUSG00000024532"
"1700034I23Rik","ENSMUSP00000141045","ENSMUSG00000074619"
"1700034I23Rik","ENSMUSP00000155319","ENSMUSG00000116310"
