gene_symbol,expr_val,ensembl_id
4930579G24Rik,0.0,10090.ENSMUSP00000029388
4930590J08Rik,0.0,10090.ENSMUSP00000145930
4930595D18Rik,0.0,10090.ENSMUSP00000113354
4931406B18Rik,0.0,10090.ENSMUSP00000129888
4931406C07Rik,0.0,10090.ENSMUSP00000150223
4931406P16Rik,0.0,10090.ENSMUSP00000145762
4931409K22Rik,0.0,10090.ENSMUSP00000142624
4931414P19Rik,0.0,10090.ENSMUSP00000022786
4931422A03Rik,0.0,10090.ENSMUSP00000061324
4931423N10Rik,0.0,10090.ENSMUSP00000028113
4931428F04Rik,0.0,10090.ENSMUSP00000148562
4931428L18Rik,0.0,10090.ENSMUSP00000156852
4931429L15Rik,0.0,10090.ENSMUSP00000123966
4931440F15Rik,0.0,10090.ENSMUSP00000100568
4932438A13Rik,1.0,10090.ENSMUSP00000118366
4932438H23Rik,0.0,10090.ENSMUSP00000122640
4933400A11Rik,0.0,10090.ENSMUSP00000070781
4933402D24Rik,0.0,10090.ENSMUSP00000027102
4933402N22Rik,0.0,10090.ENSMUSP00000130317
4933405L10Rik,0.0,10090.ENSMUSP00000148838
4933407L21Rik,0.0,10090.ENSMUSP00000027426
4933408B17Rik,0.0,10090.ENSMUSP00000054234
4933411K16Rik,0.0,10090.ENSMUSP00000131279
4933415F23Rik,0.0,10090.ENSMUSP00000072920
4933416C03Rik,0.0,10090.ENSMUSP00000096867
4933417A18Rik,0.0,10090.ENSMUSP00000125324
4933424G06Rik,0.0,10090.ENSMUSP00000147230
4933425L06Rik,0.0,10090.ENSMUSP00000022232
4933427D14Rik,0.0,10090.ENSMUSP00000104145
4933430I17Rik,0.0,10090.ENSMUSP00000050465
4933434E20Rik,1.0,10090.ENSMUSP00000066840
5031439G07Rik,0.0,10090.ENSMUSP00000037011
5330417C22Rik,0.0,10090.ENSMUSP00000138870
5430419D17Rik,0.0,10090.ENSMUSP00000147027
5430427O19Rik,1.0,10090.ENSMUSP00000109609
5730409E04Rik,0.0,10090.ENSMUSP00000095496
5730455P16Rik,0.0,10090.ENSMUSP00000135972
5730480H06Rik,0.0,10090.ENSMUSP00000142613
5730507C01Rik,0.0,10090.ENSMUSP00000137525
5730596B20Rik,0.0,10090.ENSMUSP00000069583
5830411N06Rik,0.0,10090.ENSMUSP00000131905
5830473C10Rik,0.0,10090.ENSMUSP00000144527
6030408B16Rik,0.0,10090.ENSMUSP00000154686
6030458C11Rik,0.0,10090.ENSMUSP00000154147
6030468B19Rik,0.0,10090.ENSMUSP00000101938
6330403K07Rik,0.0,10090.ENSMUSP00000158145
6330409D20Rik,0.0,10090.ENSMUSP00000009695
6430531B16Rik,1.0,10090.ENSMUSP00000095584
6430548M08Rik,0.0,10090.ENSMUSP00000104578
6430550D23Rik,0.0,10090.ENSMUSP00000083314
6430571L13Rik,0.0,10090.ENSMUSP00000047093
6430628N08Rik,0.0,10090.ENSMUSP00000146010
6720489N17Rik,0.0,10090.ENSMUSP00000152670
6820408C15Rik,0.0,10090.ENSMUSP00000117627
8030462N17Rik,0.0,10090.ENSMUSP00000158108
8030474K03Rik,0.0,10090.ENSMUSP00000130455
9030025P20Rik,0.0,10090.ENSMUSP00000060857
9030612E09Rik,0.0,10090.ENSMUSP00000049699
9030624G23Rik,0.0,10090.ENSMUSP00000099077
9130008F23Rik,0.0,10090.ENSMUSP00000156735
9130019O22Rik,0.0,10090.ENSMUSP00000131610
9130023H24Rik,0.0,10090.ENSMUSP00000077867
9130230L23Rik,0.0,10090.ENSMUSP00000143918
9130401M01Rik,0.0,10090.ENSMUSP00000155280
9230102O04Rik,0.0,10090.ENSMUSP00000110565
9230104L09Rik,0.0,10090.ENSMUSP00000028937
9330159F19Rik,0.0,10090.ENSMUSP00000151062
9330182L06Rik,0.0,10090.ENSMUSP00000069165
