gene_symbol,ensembl_id
1700093K21Rik,10090.ENSMUSP00000123063
1700093K21Rik,10090.ENSMUSP00000020527
1700093K21Rik,10090.ENSMUSP00000122399
1700093K21Rik,10090.ENSMUSP00000131204
1700095J03Rik,10090.
1700096K18Rik,10090.
1700097N02Rik,10090.
1700099I09Rik,10090.
1700102H20Rik,10090.
1700102P08Rik,10090.ENSMUSP00000141566
1700102P08Rik,10090.ENSMUSP00000035234
1700104B16Rik,10090.-
1700105P06Rik,10090.-
1700109H08Rik,10090.ENSMUSP00000118797
1700109H08Rik,10090.ENSMUSP00000008451
1700109H08Rik,10090.ENSMUSP00000117825
1700109H08Rik,10090.
1700109H08Rik,10090.ENSMUSP00000121586
1700109K24Rik,10090.
1700110C19Rik,10090.
1700110K17Rik,10090.-
1700112D23Rik,10090.-
1700112J16Rik,10090.
1700113A16Rik,10090.
1700120K04Rik,10090.
1700123L14Rik,10090.ENSMUSP00000087515
1700123O20Rik,10090.ENSMUSP00000154271
1700123O20Rik,10090.ENSMUSP00000047702
1700123O20Rik,10090.ENSMUSP00000153947
1700123O20Rik,10090.
1700124L16Rik,10090.
1700125H20Rik,10090.ENSMUSP00000098248
1700125H20Rik,10090.ENSMUSP00000018623
1810006J02Rik,10090.
1810008I18Rik,10090.-
1810009A15Rik,10090.
1810009A15Rik,10090.ENSMUSP00000093970
1810009A15Rik,10090.ENSMUSP00000140221
1810009J06Rik,10090.ENSMUSP00000075935
1810010D01Rik,10090.ENSMUSP00000149353
1810010D01Rik,10090.
1810010H24Rik,10090.ENSMUSP00000147434
1810010H24Rik,10090.ENSMUSP00000148142
1810011H11Rik,10090.-
1810012K16Rik,10090.
1810013L24Rik,10090.ENSMUSP00000023150
1810013L24Rik,10090.ENSMUSP00000155131
1810019N24Rik,10090.
1810020O05Rik,10090.
1810021B22Rik,10090.
1810022K09Rik,10090.ENSMUSP00000139512
1810022K09Rik,10090.
1810022K09Rik,10090.ENSMUSP00000139401
1810022K09Rik,10090.ENSMUSP00000104002
1810022K09Rik,10090.ENSMUSP00000139464
1810024B03Rik,10090.ENSMUSP00000061355
1810024B03Rik,10090.
1810030O07Rik,10090.ENSMUSP00000059095
1810032O08Rik,10090.
1810034E14Rik,10090.
1810037I17Rik,10090.ENSMUSP00000102037
1810041H14Rik,10090.
1810041L15Rik,10090.-
1810043G02Rik,10090.ENSMUSP00000101036
1810043G02Rik,10090.
1810043G02Rik,10090.ENSMUSP00000101037
1810044D09Rik,10090.
1810049J17Rik,10090.-
1810055G02Rik,10090.ENSMUSP00000158552
1810055G02Rik,10090.ENSMUSP00000158554
1810055G02Rik,10090.ENSMUSP00000157453
1810055G02Rik,10090.
1810055G02Rik,10090.ENSMUSP00000158133
1810055G02Rik,10090.ENSMUSP00000047063
1810058I24Rik,10090.
1810062G17Rik,10090.ENSMUSP00000029268
1810062O18Rik,10090.
2010003K11Rik,10090.ENSMUSP00000036729
2010005H15Rik,10090.ENSMUSP00000140745
2010005H15Rik,10090.ENSMUSP00000067712
2010005H15Rik,10090.ENSMUSP00000139876
2010007H06Rik,10090.-
2010013B24Rik,10090.-
2010015M23Rik,10090.-
2010107E04Rik,10090.-
2010109A12Rik,10090.
2010109A12Rik,10090.ENSMUSP00000031330
2010109I03Rik,10090.ENSMUSP00000076264
2010109I03Rik,10090.
2010110E17Rik,10090.-
2010110K18Rik,10090.-
2010111I01Rik,10090.ENSMUSP00000152404
2010111I01Rik,10090.ENSMUSP00000152296
2010111I01Rik,10090.ENSMUSP00000152666
2010111I01Rik,10090.ENSMUSP00000152622
2010111I01Rik,10090.ENSMUSP00000152528
2010111I01Rik,10090.ENSMUSP00000089148
2010111I01Rik,10090.ENSMUSP00000021911
2010111I01Rik,10090.ENSMUSP00000152578
2010111I01Rik,10090.ENSMUSP00000124560
2010111I01Rik,10090.
2010111I01Rik,10090.ENSMUSP00000152100
2010111I01Rik,10090.ENSMUSP00000152277
2010300C02Rik,10090.ENSMUSP00000124777
2010300C02Rik,10090.ENSMUSP00000123803
2010300C02Rik,10090.ENSMUSP00000125015
2010300F17Rik,10090.-
2010308F09Rik,10090.
2010309G21Rik,10090.-
2010310C07Rik,10090.
2010315B03Rik,10090.ENSMUSP00000140738
2010315B03Rik,10090.ENSMUSP00000071269
2010315B03Rik,10090.
2010315B03Rik,10090.ENSMUSP00000137258
2010315B03Rik,10090.ENSMUSP00000140144
2010315B03Rik,10090.ENSMUSP00000138993
2010315B03Rik,10090.ENSMUSP00000139321
2010315B03Rik,10090.ENSMUSP00000141114
2010315B03Rik,10090.ENSMUSP00000140164
2010320M18Rik,10090.-
2200002D01Rik,10090.ENSMUSP00000032808
2200002D01Rik,10090.
2200002J24Rik,10090.ENSMUSP00000013227
2200002J24Rik,10090.
2210008F06Rik,10090.-
2210011C24Rik,10090.ENSMUSP00000140135
2210011C24Rik,10090.ENSMUSP00000140472
2210011C24Rik,10090.ENSMUSP00000140089
2210011C24Rik,10090.ENSMUSP00000140360
2210011C24Rik,10090.ENSMUSP00000062086
2210011K15Rik,10090.-
2210016F16Rik,10090.ENSMUSP00000022032
2210016L21Rik,10090.ENSMUSP00000135781
2210016L21Rik,10090.
2210016L21Rik,10090.ENSMUSP00000114697
2210016L21Rik,10090.ENSMUSP00000031538
2210039B01Rik,10090.
2210406O10Rik,10090.
2210407C18Rik,10090.ENSMUSP00000039283
2210407C18Rik,10090.ENSMUSP00000104449
2210407C18Rik,10090.
2210408I21Rik,10090.ENSMUSP00000127449
2210408I21Rik,10090.
2210408I21Rik,10090.ENSMUSP00000153096
2210408I21Rik,10090.ENSMUSP00000153269
2210408I21Rik,10090.ENSMUSP00000153525
2210414B05Rik,10090.
2210417A02Rik,10090.
2300009A05Rik,10090.ENSMUSP00000127596
2300009A05Rik,10090.
2310001H17Rik,10090.
2310001K24Rik,10090.
2310002D06Rik,10090.
2310002L09Rik,10090.ENSMUSP00000030101
2310002L09Rik,10090.
2310002L09Rik,10090.ENSMUSP00000092633
2310009B15Rik,10090.ENSMUSP00000141565
2310009B15Rik,10090.
2310009B15Rik,10090.ENSMUSP00000107656
2310011J03Rik,10090.ENSMUSP00000020341
2310015D24Rik,10090.
2310022A10Rik,10090.
2310022A10Rik,10090.ENSMUSP00000139423
