gene_symbol,ensembl_id
2310057M21Rik,ENSMUSP00000147242
2310061I04Rik,ENSMUSP00000115771
2310065F04Rik,
2310067P03Rik,-
2310068J16Rik,
2310069B03Rik,
2310074N15Rik,-
2310081O03Rik,-
2410002F23Rik,ENSMUSP00000117318
2410004B18Rik,ENSMUSP00000118224
2410004I01Rik,
2410004P03Rik,ENSMUSP00000093503
2410015M20Rik,ENSMUSP00000052908
2410018L13Rik,
2410080I02Rik,-
2410089E03Rik,-
2410131K14Rik,ENSMUSP00000043410
2510002D24Rik,ENSMUSP00000141071
2510009E07Rik,ENSMUSP00000062303
2510017J16Rik,-
2510039O18Rik,ENSMUSP00000099522
2510046G10Rik,-
2600006K01Rik,ENSMUSP00000119476
2610001J05Rik,ENSMUSP00000120110
2610002M06Rik,ENSMUSP00000113588
2610008E11Rik,ENSMUSP00000151709
2610016A17Rik,
2610020C07Rik,-
2610021A01Rik,ENSMUSP00000146223
2610035D17Rik,
2610037D02Rik,-
2610044O15Rik8,ENSMUSP00000140555
2610204G07Rik,-
2610206C17Rik,
2610301B20Rik,ENSMUSP00000079361
2610318N02Rik,ENSMUSP00000091026
2610507B11Rik,ENSMUSP00000010421
2610524H06Rik,ENSMUSP00000116625
2610528A11Rik,ENSMUSP00000136426
2700012I20Rik,
2700016F22Rik,-
2700033N17Rik,-
2700038G22Rik,
2700046A07Rik,
2700046G09Rik,
2700049A03Rik,ENSMUSP00000118956
2700062C07Rik,ENSMUSP00000095251
2700069I18Rik,-
2700081O15Rik,ENSMUSP00000123773
2700089I24Rik,
2700097O09Rik,ENSMUSP00000021406
2810001G20Rik,
2810004N23Rik,ENSMUSP00000034465
2810006K23Rik,ENSMUSP00000107102
2810021J22Rik,ENSMUSP00000073579
2810032G03Rik,
2810402E24Rik,-
2810403A07Rik,-
2810403G07Rik,-
2810404F17Rik,-
2810405F17Rik,-
2810407A14Rik,-
2810408A11Rik,ENSMUSP00000135926
2810414N06Rik,
2810425M01Rik,-
2810429I04Rik,
2810433D01Rik,-
2810442N19Rik,
2810454H06Rik,
2810455O05Rik,-
2810457G06Rik,-
2810459M11Rik,ENSMUSP00000131459
2810474O19Rik,-
2900009J06Rik,
2900026A02Rik,ENSMUSP00000058789
2900045O20Rik,-
2900055J20Rik,ENSMUSP00000158332
2900060B14Rik,
2900076A07Rik,
2900089D17Rik,-
2900093K20Rik,-
2900097C17Rik,
3010003L21Rik,
3100002H09Rik,-
3110001I22Rik,ENSMUSP00000041742
3110002H16Rik,-
3110006O06Rik,-
3110009E18Rik,ENSMUSP00000027637
3110021N24Rik,-
3110035E14Rik,-
3110040N11Rik,ENSMUSP00000026092
3110043O21Rik,-
3110045C21Rik,
3110062M04Rik,-
3110070M22Rik,ENSMUSP00000096752
3110079O15Rik,-
3110082I17Rik,ENSMUSP00000069230
3110082J24Rik,ENSMUSP00000142756
3222401L13Rik,-
3300002I08Rik,ENSMUSP00000055454
3300002P13Rik,
3300005D01Rik,
3425401B19Rik,ENSMUSP00000093741
3632451O06Rik,-
3830403N18Rik,ENSMUSP00000033458
3830406C13Rik,ENSMUSP00000153588
3930402G23Rik,
4430402I18Rik,ENSMUSP00000137486
4631405J19Rik,
4632404H12Rik,
4632415L05Rik,
4632428C04Rik,
4731419I09Rik,-
4732414G09Rik,
4732419C18Rik,-
4732440D04Rik,
4732463B04Rik,-
4732465J04Rik,-
4732471J01Rik,
4732490B19Rik,
4732491K20Rik,
4732496C06Rik,-
4831440D22Rik,-
4831440E17Rik,-
4833403J16Rik,-
4833407H14Rik,-
4833412C05Rik,
4833413E03Rik,-
4833413G10Rik,-
4833418N02Rik,
4833420G17Rik,ENSMUSP00000153273
4833422C13Rik,
4833427F10Rik,
4833427G06Rik,ENSMUSP00000126725
4833428L15Rik,
4833439L19Rik,ENSMUSP00000119874
4833445I07Rik,-
4921501I09Rik,-
4921504A21Rik,
4921507P07Rik,ENSMUSP00000031852
4921509O07Rik,
4921511C10Rik,
4921513I03Rik,
4921514A10Rik,-
4921516A02Rik,-
4921523L03Rik,-
4921524J17Rik,ENSMUSP00000040975
4921536K21Rik,ENSMUSP00000020712
4930402F06Rik,ENSMUSP00000108633
4930402H24Rik,ENSMUSP00000117915
4930403D09Rik,
4930403P22Rik,-
4930404A12Rik,-
4930404H11Rik,
4930404N11Rik,ENSMUSP00000020456
4930412M03Rik,-
4930415O20Rik,ENSMUSP00000023728
4930425P05Rik,-
4930426D05Rik,
4930426I24Rik,-
4930426L09Rik,ENSMUSP00000028069
4930428E07Rik,
4930428N03Rik,-
4930429F24Rik,
4930430E12Rik,-
4930430F08Rik,ENSMUSP00000062410
4930431P22Rik,
4930432J09Rik,
4930435F18Rik,
4930438A08Rik,ENSMUSP00000147249
4930440I19Rik,
4930444E06Rik,-
4930444G20Rik,ENSMUSP00000097613
4930444M15Rik,
4930444P10Rik,ENSMUSP00000111024
4930445E18Rik,-
4930445N18Rik,
4930447C04Rik,ENSMUSP00000116391
4930448A20Rik,-
4930452G13Rik,
4930453N24Rik,ENSMUSP00000076255
4930455G09Rik,
4930455M05Rik,-
4930458B22Rik,-
4930458D05Rik,-
4930459C07Rik,
4930463O16Rik,
4930467E23Rik,ENSMUSP00000096508
4930469K13Rik,-
4930471E19Rik,-
4930471M09Rik,
4930477G07Rik,-
4930479D17Rik,
4930480K23Rik,
4930480M12Rik,
4930481A15Rik,
4930486L24Rik,ENSMUSP00000089157
4930500F10Rik,-
4930500L23Rik,
4930500M09Rik,ENSMUSP00000115622
4930503B20Rik,ENSMUSP00000114745
4930503L19Rik,ENSMUSP00000148747
4930505A04Rik,ENSMUSP00000045288
4930505N22Rik,-
4930507D05Rik,ENSMUSP00000137990
4930509E16Rik,
4930509G22Rik,-
4930509K18Rik,
4930512P04Rik,-
4930513N10Rik,
4930515G01Rik,
4930518I15Rik,-
4930519G04Rik,ENSMUSP00000116852
4930522L14Rik,ENSMUSP00000098497
4930523C07Rik,ENSMUSP00000156718
4930524J08Rik,-
4930524O07Rik,-
4930528D03Rik,
4930532G15Rik,-
4930533K18Rik,-
4930533N22Rik,
4930534D22Rik,-
4930535E02Rik,-
4930535I16Rik,-
4930537H20Rik,-
4930539E08Rik,ENSMUSP00000050646
4930539J05Rik,
4930540M05Rik,-
4930542C12Rik,-
4930544D05Rik,ENSMUSP00000136077
4930544F09Rik,-
4930544M13Rik,
4930546K05Rik,
4930548H24Rik,ENSMUSP00000031020
4930550C14Rik,ENSMUSP00000150018
4930551L18Rik,-
4930553M12Rik,-
4930554G24Rik,
4930555A03Rik,
4930555F03Rik,-
4930556J02Rik,
4930557J02Rik,
4930558J18Rik,
4930558J22Rik,-
4930558K02Rik,ENSMUSP00000124751
4930558N11Rik,-
4930562A09Rik,-
4930562C15Rik,ENSMUSP00000127814
4930562F07Rik,
4930563D23Rik,-
4930563M21Rik,ENSMUSP00000051794
4930565N06Rik,
4930568A12Rik,
4930570G19Rik,
4930570N18Rik,-
4930572G02Rik,-
4930578C19Rik,ENSMUSP00000046567
4930578G10Rik,-
4930579C12Rik,-
4930579G18Rik,-
4930579G24Rik,ENSMUSP00000029388
4930579J19Rik,
4930580E04Rik,-
4930589L23Rik,
4930590J08Rik,ENSMUSP00000145930
4930592C13Rik,
4930594M22Rik,
4930594O21Rik,
4930595D18Rik,ENSMUSP00000113354
4930597A21Rik,
4930598A11Rik,-
4930599N23Rik,
4931403G20Rik,
4931406B18Rik,ENSMUSP00000129888
4931406C07Rik,ENSMUSP00000150223
4931406P16Rik,ENSMUSP00000145762
4931409K22Rik,ENSMUSP00000142624
4931413I07Rik,-
4931414P19Rik,ENSMUSP00000022786
4931423N10Rik,ENSMUSP00000028113
4931428F04Rik,ENSMUSP00000148562
4931428L18Rik,ENSMUSP00000156852
4931431C16Rik,
4931440F15Rik,ENSMUSP00000100568
4932415M13Rik,
4932416K20Rik,-
4932422M17Rik,-
4932438A13Rik,ENSMUSP00000118366
4932438H23Rik,ENSMUSP00000122640
4932443I19Rik,-
4932443L11Rik,-
4933400C23Rik,
4933402J15Rik,
4933404K13Rik,
4933404O12Rik,
4933405D12Rik,
4933405E24Rik,
4933406B17Rik,
4933406C10Rik,
4933406I18Rik,
4933406P04Rik,-
4933407I05Rik,
4933407L21Rik,ENSMUSP00000027426
4933408B17Rik,ENSMUSP00000054234
4933408J17Rik,
4933408N05Rik,
4933411E06Rik,-
4933412O06Rik,
4933413J09Rik,
4933415A04Rik,-
4933416M07Rik,-
4933417D19Rik,
4933417E11Rik,
4933421I07Rik,ENSMUSP00000032648
4933423P22Rik,-
4933424G06Rik,ENSMUSP00000147230
4933424M12Rik,
4933426K07Rik,-
4933427D14Rik,ENSMUSP00000104145
4933427J07Rik,-
4933428G20Rik,ENSMUSP00000060323
4933428P19Rik,-
4933429H19Rik,-
4933430I17Rik,ENSMUSP00000050465
4933431E20Rik,
4933431G14Rik,
4933431J24Rik,-
4933432I03Rik,
4933432I09Rik,
4933432K03Rik,-
4933433G15Rik,
4933433G19Rik,
4933434E20Rik,ENSMUSP00000066840
4933440M02Rik,
5031425E22Rik,
5031425F14Rik,-
5031434C07Rik,-
5031439G07Rik,ENSMUSP00000037011
5033403F01Rik,
5033406O09Rik,
5033417F24Rik,
5033421B08Rik,-
5033426O07Rik,-
5033428I22Rik,
5033430I15Rik,-
5330416C01Rik,-
5330417C22Rik,ENSMUSP00000138870
5330434G04Rik,
5330439M10Rik,-
5430402O13Rik,
5430403G16Rik,-
5430416N02Rik,
5430419D17Rik,ENSMUSP00000147027
5430425K12Rik,-
5430427N15Rik,-
5430427O19Rik,ENSMUSP00000109609
5430431A17Rik,
5730409E04Rik,ENSMUSP00000095496
5730419F03Rik,-
5730422E09Rik,-
5730455P16Rik,ENSMUSP00000135972
5730460C07Rik,
5730480H06Rik,ENSMUSP00000142613
5730507C01Rik,ENSMUSP00000137525
5730559C18Rik,-
5730596B20Rik,ENSMUSP00000069583
5830411N06Rik,ENSMUSP00000131905
5830416I19Rik,
5830418P13Rik,
5830432E09Rik,
5830454E08Rik,
5830468F06Rik,-
5930412G12Rik,
5930422O12Rik,-
5930430L01Rik,
6030407O03Rik,
6030408B16Rik,ENSMUSP00000154686
6030419C18Rik,-
6030443J06Rik,
6030445D17Rik,-
6030458C11Rik,ENSMUSP00000154147
6030468B19Rik,ENSMUSP00000101938
6030471H07Rik,
6230400D17Rik,
6330403K07Rik,ENSMUSP00000158145
6330403L08Rik,-
6330403N20Rik,-
6330409D20Rik,ENSMUSP00000009695
6330418K02Rik,
6330562C20Rik,-
6430531B16Rik,ENSMUSP00000095584
6430548M08Rik,ENSMUSP00000104578
6430550D23Rik,ENSMUSP00000083314
6430571L13Rik,ENSMUSP00000047093
6430573F11Rik,-
6430573P05Rik,-
6430628N08Rik,ENSMUSP00000146010
6530409C15Rik,-
6530437J22Rik,-
6720427I07Rik,-
6720489N17Rik,ENSMUSP00000152670
7420700N18Rik,
8030423F21Rik,
8030442B05Rik,
8030462N17Rik,ENSMUSP00000158108
8030474K03Rik,ENSMUSP00000130455
8430408G22Rik,-
8430423G03Rik,
8430432A02Rik,-
8430436N08Rik,
9030025P20Rik,ENSMUSP00000060857
9030612E09Rik,ENSMUSP00000049699
9030624G23Rik,ENSMUSP00000099077
9030624J02Rik,-
9130008F23Rik,ENSMUSP00000156735
9130011E15Rik,-
9130015A21Rik,
9130019O22Rik,ENSMUSP00000131610
9130023H24Rik,ENSMUSP00000077867
9130204K15Rik,-
9130213A22Rik,-
9130221H12Rik,
9130230L23Rik,ENSMUSP00000143918
9130401M01Rik,ENSMUSP00000155280
9130410C08Rik,-
9130604C24Rik,-
9230009I02Rik,
9230102K24Rik,
9230102O04Rik,ENSMUSP00000110565
9230104M06Rik,-
9230105E05Rik,
9230110C19Rik,-
9230111E07Rik,-
9230112J17Rik,
9230116L04Rik,
